날짜,홈 팀,홈 점수,원정 팀,원정 점수
2024-06-01,키움,0,SSG,9
2024-06-02,키움,2,SSG,6
2024-06-04,LG,3,키움,11
2024-06-05,LG,4,키움,2
2024-06-06,LG,8,키움,4
2024-06-07,키움,7,삼성,5
2024-06-08,키움,10,삼성,3
2024-06-09,키움,1,삼성,7
2024-06-11,롯데,2,키움,5
2024-06-12,롯데,9,키움,2
2024-06-13,롯데,18,키움,10
2024-06-14,키움,4,두산,6
2024-06-15,키움,1,두산,4
2024-06-16,키움,8,두산,2
2024-06-18,한화,3,키움,0
2024-06-19,한화,14,키움,11
2024-06-20,한화,0,키움,7
2024-06-21,키움,5,롯데,2
2024-06-22,키움,1,롯데,6
2024-06-23,키움,2,롯데,10
2024-06-25,키움,6,NC,5
2024-06-26,키움,10,NC,7
2024-06-27,키움,9,NC,7
2024-06-28,KIA,6,키움,17
2024-06-29,KIA,0,키움,0
2024-06-30,KIA,0,키움,0
2024-06-30,KIA,0,키움,0
