날짜,홈 팀,홈 점수,원정 팀,원정 점수
2024-05-01,롯데,3,키움,6
2024-05-02,롯데,6,키움,5
2024-05-03,KT,2,키움,1
2024-05-04,KT,6,키움,2
2024-05-05,KT,0,키움,0
2024-05-07,키움,4,두산,13
2024-05-08,키움,1,두산,6
2024-05-09,키움,2,두산,5
2024-05-10,한화,5,키움,4
2024-05-11,한화,1,키움,7
2024-05-12,한화,8,키움,3
2024-05-14,LG,0,키움,5
2024-05-15,LG,0,키움,0
2024-05-16,LG,5,키움,6
2024-05-17,키움,4,SSG,5
2024-05-18,키움,0,SSG,3
2024-05-19,키움,10,SSG,3
2024-05-21,키움,3,NC,5
2024-05-22,키움,3,NC,4
2024-05-23,키움,6,NC,4
2024-05-24,KT,5,키움,4
2024-05-25,KT,5,키움,2
2024-05-26,KT,0,키움,0
2024-05-28,삼성,3,키움,4
2024-05-29,삼성,5,키움,11
2024-05-30,삼성,4,키움,2
2024-05-31,키움,2,SSG,4
